sentence1,sentence2,similarity
Die Parteien können Fristen abkürzen.,Durch Vereinbarung der Parteien können Fristen mit Ausnahme der Notfristen abgekürzt werden. Notfristen sind nur diejenigen Fristen die in diesem Gesetz als solche bezeichnet sind. Auf Antrag können richterliche und gesetzliche Fristen abgekürzt oder verlängert werden wenn erhebliche Gründe glaubhaft gemacht sind gesetzliche Fristen jedoch nur in den besonders bestimmten Fällen. Im Falle der Verlängerung wird die neue Frist von dem Ablauf der vorigen Frist an berechnet wenn nicht im einzelnen Fall ein anderes bestimmt ist.,perfekt
"Der Zeuge darf Auskunft über Fragen verweigern, die ihn selbst oder Angehörigen der in § 52 Abs. 1 bezeichneten Personen die Gefahr zuziehen würden, wegen einer Straftat oder einer Ordnungswidrigkeit verfolgt zu werden. Er ist über sein Recht zur Verweigerung der Auskunft zu belehren.","Gibt ein Zeuge an, dass er aus Glaubens- oder Gewissensgründen keinen Eid leisten wolle, so hat er die Wahrheit der Aussage zu bekräftigen. Die Bekräftigung steht dem Eid gleich; hierauf ist der Zeuge hinzuweisen. Die Wahrheit der Aussage wird in der Weise bekräftigt, dass der Richter an den Zeugen die Worte richtet: ""Sie bekräftigen im Bewusstsein Ihrer Verantwortung vor Gericht, dass Sie nach bestem Wissen die reine Wahrheit gesagt und nichts verschwiegen haben""und der Zeuge hierauf spricht: ""Ja"". § 64 Abs. 3 gilt entsprechend.",widerspruch
"Das Eigentum an unregistrierten Schiffen oder Anteil an solchen Schiffen kann Übertragen werden, wenn der Eigentümer und der Erwerber darüber einverstanden sind.",Wer eine bewegliche Sache zehn Jahre im Eigenbesitz hat erwirbt das Eigentum (Ersitzung). Die Ersitzung ist ausgeschlossen wenn der Erwerber bei dem Erwerb des Eigenbesitzes nicht in gutem Glauben ist oder wenn er später erfährt dass ihm das Eigentum nicht zusteht.,widerspruch
"Wer die Wahl oder das Ergebnis einer öffentlichen Wahlausstellung verhindern will, wird mit Freiheitsstrafe bis zu 5 Jahren bestraft.",Wer einen Gefangenen befreit ihn zum Entweichen verleitet oder dabei fördert wird mit Freiheitsstrafe bis zu drei Jahren oder mit Geldstrafe bestraft. Ist der Täter als Amtsträger oder als für den öffentlichen Dienst besonders Verpflichteter gehalten das Entweichen des Gefangenen zu verhindern so ist die Strafe Freiheitsstrafe bis zu fünf Jahren oder Geldstrafe. Der Versuch ist strafbar. Einem Gefangenen im Sinne der Absätze 1 und 2 steht gleich wer sonst auf behördliche Anordnung in einer Anstalt verwahrt wird.,widerspruch
Die Zollfahndungsämter dürfen personenbezogene Daten abhören.,Unbeschadet des Zollkodex der Union und der sonstigen unionsrechtlichen Vorschriften lehnt die Zollstelle die Annahme der Zollanmeldung ab wenn 1.die Zollstelle sachlich nicht zuständig ist 2.die Voraussetzungen für die beantragte Zollbehandlung nicht vorliegen oder3.Verbote und Beschränkungen entgegenstehen. Die Zollstelle kann die Annahme der Zollanmeldung ablehnen wenn 1.sie örtlich nicht zuständig ist 2.die Regelungen über den Amtsplatz oder die Öffnungszeiten (§ 18) nicht beachtet worden sind.,widerspruch
Die Länder können allein oder gemeinsam mit anderen Stellen die Aufgaben einer einheitlichen Stelle im Sinne des Verwaltungsverfahrensgesetzes übertragen.,Die Anwaltsgerichte haben sich gegenseitig Amts- und Rechtshilfe zu leisten. Auf Ersuchen haben auch andere Gerichte und Verwaltungsbehörden dem Anwaltsgericht Amts- und Rechtshilfe zu leisten. Die gleiche Verpflichtung haben die Anwaltsgerichte gegenüber anderen Gerichten und Behörden. Bei den Anwaltsgerichten können die Rechtshilfeersuchen durch ein einzelnes Mitglied erledigt werden.,widerspruch
"Täter kann Geldstrafe bekommen, wenn er sich bereichert hat.",Hat der Täter sich durch die Tat bereichert oder zu bereichern versucht so kann neben einer Freiheitsstrafe eine sonst nicht oder nur wahlweise angedrohte Geldstrafe verhängt werden wenn dies auch unter Berücksichtigung der persönlichen und wirtschaftlichen Verhältnisse des Täters angebracht ist.,perfekt
"Amtsträger, die öffentliche Urkunden beurkunden oder in öffentliche Register einträgen, werden mit Freiheitsstrafe bis zu 5 Jahren oder mit Geldstrafe bestraft. Der Versuch ist strafbar.",Ein Amtsträger der zur Aufnahme öffentlicher Urkunden befugt innerhalb seiner Zuständigkeit eine rechtlich erhebliche Tatsache falsch beurkundet oder in öffentliche Register Bücher oder Dateien falsch einträgt oder eingibt wird mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe bestraft. Der Versuch ist strafbar.,perfekt
Die Regulierungsbehörde publiziert Entscheidungen und die Internetseite.,Für bürgerliche Rechtsstreitigkeiten die sich aus diesem Gesetz ergeben sind ohne Rücksicht auf den Wert des Streitgegenstandes die Landgerichte ausschließlich zuständig. Satz 1 gilt auch wenn die Entscheidung eines Rechtsstreits ganz oder teilweise von einer Entscheidung abhängt die nach diesem Gesetz zu treffen ist. Die Rechtsstreitigkeiten sind Handelssachen im Sinne der §§ 93 bis 114 des Gerichtsverfassungsgesetzes.,widerspruch
"Jeder, der bei dem Vollstreckungsverfahren beteiligt ist, hat Einsicht in die Akten des Gerichtsvollziehers zu beantragen, sofern dieser kein Vorbehalten hat.",Solange ein Veräußerungsverbot der in den §§ 135 136 des Bürgerlichen Gesetzbuchs bezeichneten Art besteht soll der Gegenstand auf den es sich bezieht wegen eines persönlichen Anspruchs oder auf Grund eines infolge des Verbots unwirksamen Rechts nicht im Wege der Zwangsvollstreckung veräußert oder überwiesen werden. Auf Grund des Veräußerungsverbots kann nach Maßgabe des § 771 Widerspruch erhoben werden.,widerspruch
Die Entscheidung über einen Asylantrag ist verbindlich.,Das Asylverfahren eines Ausländers ruht solange ihm vorübergehender Schutz nach § 24 des Aufenthaltsgesetzes gewährt wird. Solange das Verfahren ruht bestimmt sich die Rechtsstellung des Ausländers nicht nach diesem Gesetz. Der Asylantrag gilt als zurückgenommen wenn der Ausländer nicht innerhalb eines Monats nach Ablauf der Geltungsdauer seiner Aufenthaltserlaubnis dem Bundesamt anzeigt dass er das Asylverfahren fortführen will.,widerspruch
Behörden übermitteln die zuständige Behörde ihre umwelt- und gesundheitsbezogenen Aufgaben.,Die zuständige Behörde übermittelt den Behörden deren umwelt- und gesundheitsbezogener Aufgabenbereich durch den Plan oder das Programm berührt wird den Entwurf des Plans oder Programms sowie den Umweltbericht und holt die Stellungnahmen dieser Behörden ein. Die zuständige Behörde setzt für die Abgabe der Stellungnahmen eine angemessene Frist von mindestens einem Monat.,perfekt
"Erblasser kann die Anfechtung einer letztwilligen Verfügung beantragen, wenn er ungerechtfertigt über den Inhalt seiner Erklärung im Irrtum war.",Hat der Erblasser nur einen Erben eingesetzt und die Einsetzung auf einen Bruchteil der Erbschaft beschränkt so tritt in Ansehung des übrigen Teils die gesetzliche Erbfolge ein. Das Gleiche gilt wenn der Erblasser mehrere Erben unter Beschränkung eines jeden auf einen Bruchteil eingesetzt hat und die Bruchteile das Ganze nicht erschöpfen.,widerspruch
"Wer eine Sache, die andere gestohlen haben, ankauft, verschafft sich oder sich bereichert, wird mit Freiheitsstrafe bis zu 5 Jahren oder mit Geldstrafe bestraft.",Wer eine Sache die ein anderer gestohlen oder sonst durch eine gegen fremdes Vermögen gerichtete rechtswidrige Tat erlangt hat ankauft oder sonst sich oder einem Dritten verschafft sie absetzt oder absetzen hilft um sich oder einen Dritten zu bereichern wird mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe bestraft. Die §§ 247 und 248a gelten sinngemäß. Der Versuch ist strafbar.,perfekt
"Die Bundesnetzagentur gibt einen Überblick über ihre Verwaltungskosten und die Gesamtleistungen, die sie seit 1955 eingenommen hat. Soweit erforderlich werden die Gebühren- und Beitragssätze in den Verordnungen nach § 91 Abs. 8 und § 92 Abs. 3 für die Zukunft angepasst.",Dem Bundespräsidenten steht hinsichtlich des Verlustes der Soldatenrechte und der Rechte aus einem früheren Soldatenverhältnis das Gnadenrecht zu. Er kann die Ausübung anderen Stellen übertragen. Wird im Gnadenweg der Verlust der Soldatenrechte in vollem Umfang beseitigt so gilt von diesem Zeitpunkt ab § 42 Abs. 1 2 und 4 des Bundesbeamtengesetzes entsprechend.,widerspruch
"Wer Fischereirechte oder Fischereiausübungsrechte verletzt, ist mit Freiheitsstrafe bis zu 2 Jahren oder mit Geldstrafe bestraft.",Wer unter Verletzung fremden Fischereirechts oder Fischereiausübungsrechts 1.fischt oder2.eine Sache die dem Fischereirecht unterliegt sich oder einem Dritten zueignet beschädigt oder zerstört wird mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.,perfekt
Die Gläubigerversammlung entscheidet über die Einsetzung eines Gläubigerausschusses.,Durch die Eröffnung des Insolvenzverfahrens geht das Recht des Schuldners das zur Insolvenzmasse gehörende Vermögen zu verwalten und über es zu verfügen auf den Insolvenzverwalter über. Ein gegen den Schuldner bestehendes Veräußerungsverbot das nur den Schutz bestimmter Personen bezweckt (§§ 135 136 des Bürgerlichen Gesetzbuchs) hat im Verfahren keine Wirkung. Die Vorschriften über die Wirkungen einer Pfändung oder einer Beschlagnahme im Wege der Zwangsvollstreckung bleiben unberührt.,widerspruch
"Wer sich einer Unterhaltspflicht entzieht, wird bestraft.",Wer sich einer gesetzlichen Unterhaltspflicht entzieht so daß der Lebensbedarf des Unterhaltsberechtigten gefährdet ist oder ohne die Hilfe anderer gefährdet wäre wird mit Freiheitsstrafe bis zu drei Jahren oder mit Geldstrafe bestraft. Wer einer Schwangeren zum Unterhalt verpflichtet ist und ihr diesen Unterhalt in verwerflicher Weise vorenthält und dadurch den Schwangerschaftsabbruch bewirkt wird mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe bestraft.,perfekt
"Wer ohne die erforderliche Erlaubnis oder Genehmigung eine Apotheke, Krankenhausapotheke oder Zweigapotheke betreibt oder verwaltet, wird mit Freiheitsstrafe bis zu 6 Monaten oder mit Geldstrafe bis zu 1280 Tagessätzen bestraft.",Wer vorsätzlich oder fahrlässig ohne die erforderliche Erlaubnis oder Genehmigung eine Apotheke Krankenhausapotheke oder Zweigapotheke betreibt oder verwaltet wird mit Freiheitsstrafe bis zu sechs Monaten oder mit Geldstrafe bis zu einhundertachtzig Tagessätzen bestraft.,perfekt
Die Fundstelle für die Originaltextdatei ist BGBl. I 2007 985Lfd. Nr.Bezeichnung1Mittellandkanal (Hannover - Magdeburg)/Elbe-Havel-Kanal/Untere Havel-Wasserstraße/Berliner Wasserstraßen2Havel-Oder-Wasserstraße und Hohensaaten-Friedrichsthaler Wasserstraße3Dortmund-Ems-Kanal (Südstrecke)4Main-Don,"Wer ein erlaubnisbedürftiges Waffengewerbe durch einen Stellvertreter betreiben will, bedarf einer Stellvertretererlaubnis; sie wird dem Erlaubnisinhaber für einen bestimmten Stellvertreter erteilt und kann befristet werden. Dies gilt auch für die Beauftragung einer Person mit der Leitung einer Zweigniederlassung oder einer unselbstständigen Zweigstelle. Die Vorschriften des § 21 gelten entsprechend.",widerspruch
"Die Vollmacht erlischt durch den Beginn des Insolvenzverfahrens. Soweit ein Auftrag oder ein Geschäftsbesorgungsvertrag nach § 115 Abs. 2 besteht, gilt auch die Vollmacht als fortbestehend. Solange der Bevollmächtigte die Eröffnung des Verfahrens ohne Verschulden nicht kennt, haftet er nicht nach § 179 des Bürgerlichen Geset",Der Insolvenzverwalter kann zur Sicherung der Sachen die zur Insolvenzmasse gehören durch den Gerichtsvollzieher oder eine andere dazu gesetzlich ermächtigte Person Siegel anbringen lassen. Das Protokoll über eine Siegelung oder Entsiegelung hat der Verwalter auf der Geschäftsstelle zur Einsicht der Beteiligten niederzulegen.,widerspruch
"Ordnungsgeld kann festgesetzt werden, Pflicht zur Kostenauferlegung besteht.",Gegen einen ehrenamtlichen Richter der sich ohne genügende Entschuldigung zu einer Sitzung nicht rechtzeitig einfindet oder der sich seinen Pflichten auf andere Weise entzieht kann ein Ordnungsgeld festgesetzt werden. Zugleich können ihm die durch sein Verhalten verursachten Kosten auferlegt werden. Die Entscheidung trifft der Vorsitzende. Er kann sie bei nachträglicher Entschuldigung ganz oder zum Teil aufheben.,perfekt
"Alleinflüge während der Ausbildung zum Erstmaligen Erwerb der Erlaubnis sind nur zulässig, wenn der Bewerber über ein Tauglichkeitszeugnis verfügt.",Alleinflüge während der Ausbildung zum erstmaligen Erwerb der Erlaubnis sind nur zulässig wenn sie dem Ausbildungszweck dienen und der Bewerber über ein Tauglichkeitszeugnis verfügt. Im Zeitraum zwischen dem Bestehen der praktischen Prüfung zum Erwerb einer Erlaubnis und der erstmaligen Erteilung der Erlaubnis sind Alleinflüge nicht zulässig mit Ausnahme des Rückfluges zum Startort nach bestandener Flugprüfung. Dabei sind die Bestimmungen über Alleinflüge nach § 117 sowie der Verordnung (EU) Nr. 1178/2011 einzuhalten.,perfekt
Eintragungen in das Güterrechtsregister sind bei jedem Amtsgericht vorzunehmen.,Es wird unwiderlegbar vermutet dass die Ehe gescheitert ist wenn die Ehegatten seit einem Jahr getrennt leben und beide Ehegatten die Scheidung beantragen oder der Antragsgegner der Scheidung zustimmt. Es wird unwiderlegbar vermutet dass die Ehe gescheitert ist wenn die Ehegatten seit drei Jahren getrennt leben.,widerspruch
Das Erbe umfasst das zur Zeit des Erbfalls vorhandene Zubehör.,Hat der Erblasser eine ihm gegen den Erben zustehende Forderung oder hat er ein Recht vermacht mit dem eine Sache oder ein Recht des Erben belastet ist so gelten die infolge des Erbfalls durch Vereinigung von Recht und Verbindlichkeit oder von Recht und Belastung erloschenen Rechtsverhältnisse in Ansehung des Vermächtnisses als nicht erloschen.,widerspruch
"Unternehmer darf Fracht-Liefer- oder Versandkosten und sonstige Kosten verlangen, wenn er den Verbraucher über diese Kosten entsprechend den Anforderungen aus § 312d Absatz 1 in Verbindung mit Artikel 246a § 1 Absatz 1 Satz 1 Nummer 4 des Einführungsgesetzes zum Bürgerlichen Gesetzbuche informiert hat.",Der Unternehmer kann von dem Verbraucher Fracht- Liefer- oder Versandkosten und sonstige Kosten nur verlangen soweit er den Verbraucher über diese Kosten entsprechend den Anforderungen aus § 312d Absatz 1 in Verbindung mit Artikel 246a § 1 Absatz 1 Satz 1 Nummer 4 des Einführungsgesetzes zum Bürgerlichen Gesetzbuche informiert hat.,perfekt
"Wer das Befähigungszeugnis verliert, dessen Besitz Voraussetzung für die Bestallung gewesen ist, dem ist die Bestallung nach Anhörung der Bundeslotsenkammer zu widerrufen. Wird dieser Besitz festgestellt durch ein Zeugnis des seeärztlichen Dienstes der See-Berufsgenossenschaft, so ist die Bestallung zu widerrufen.","Organe der Bundeslotsenkammer sind der Vorsitzende und die Mitgliederversammlung. Die Lotsenbrüderschaften werden in der Mitgliederversammlung durch ihre Ältermänner vertreten. Jede Lotsenbrüderschaft hat mindestens eine Stimme; Lotsenbrüderschaften mit mehr als einhundert Mitgliedern haben zwei Stimmen und Lotsenbrüderschaften mit mehr als zweihundert Mitgliedern haben drei Stimmen. Die Satzung kann vorsehen, daß neben dem Vorsitzenden für bestimmte Angelegenheiten besondere Beauftragte zu bestellen sind.",widerspruch
"Der andere Teil hat das Recht, den Vertrag zum Widerruf zu verlangen.",Die Anfechtung muss in den Fällen der §§ 119 120 ohne schuldhaftes Zögern (unverzüglich) erfolgen nachdem der Anfechtungsberechtigte von dem Anfechtungsgrund Kenntnis erlangt hat. Die einem Abwesenden gegenüber erfolgte Anfechtung gilt als rechtzeitig erfolgt wenn die Anfechtungserklärung unverzüglich abgesendet worden ist. Die Anfechtung ist ausgeschlossen wenn seit der Abgabe der Willenserklärung zehn Jahre verstrichen sind.,widerspruch
"Neue Zins- oder Rentenscheine für eine Schuldverschreibung dürfen an den Ermächtigten (Erneuerungsschein) nicht ausgegeben werden, wenn der Ermächtigte der Ausgabe widersprochen hat. Die Scheine sind in diesem Falle dem Ermächtigten auszuhändigen.",Wer durch die Leistung eines anderen oder in sonstiger Weise auf dessen Kosten etwas ohne rechtlichen Grund erlangt ist ihm zur Herausgabe verpflichtet. Diese Verpflichtung besteht auch dann wenn der rechtliche Grund später wegfällt oder der mit einer Leistung nach dem Inhalt des Rechtsgeschäfts bezweckte Erfolg nicht eintritt. Als Leistung gilt auch die durch Vertrag erfolgte Anerkennung des Bestehens oder des Nichtbestehens eines Schuldverhältnisses.,widerspruch
